#,RunNo,RunDes,Verb,NEvents,NStart,Ped,Clus,Sel,DoAlig,AnaAli,TraAna,Ntries,Status,Correction
#,,,,,,,,,,,,,,
#PW205B,,,,,,,,,,,,,,
,16001,left,0,1000000,0,1,1,1,1,0,1,0,0,1
,16005,left,0,500000,0,1,1,1,1,0,1,0,0,1
,16303,left,0,1000000,0,1,1,1,1,0,1,0,0,1
,16307,left,0,1000000,0,1,1,1,1,0,1,0,0,1
,17101,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,17104,0,0,680000,0,1,1,1,1,0,1,0,0,1
,17208,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,17211,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,19109,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,19113,0,0,650000,0,1,1,1,1,0,1,0,0,1
,23003,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,23005,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,23006,0,0,500000,0,1,1,1,1,0,1,0,0,1
,23007,0,0,500000,0,1,1,1,1,0,1,0,0,1
,23008,0,0,400000,0,1,1,1,1,0,1,0,0,1
,23107,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,23111,0,0,1000000,0,1,1,1,1,0,1,0,0,1
